SNPID	X6529	X6679	X6627	X6164	X6675	X6321	X6924	X4323	X5796	X6570	X5656	X5661	A0XF	X6677	X6386	X6606	X5868	X5659	X6717	X5861	X6534	X6530	X6625	X3489	A1D9	X6719	X5864	X6648	A1D4	X5538	X6599
hsa-mir-196a-1	0.17330663203352	-1.02037119758734	-0.780744638224369	-1.4342054760292	-0.36859374524638	-0.17795090980599	-0.790732572233012	-0.785593212703932	0.295092070194053	0.401579466928057	-0.642200858716196	-0.659981331771995	-0.143096407985052	1.38820322294347	0.553196900754451	0.639479135053584	-0.922799977919831	1.68578731555113	-0.467617126201386	-0.172034490008779	-1.16332550107512	0.249784189601327	-0.0509293613267042	-0.49218413123905	-0.249939825075595	0.249784189601327	1.99748078480837	0.74635665095436	2.06495879688091	0.772686686123414	-0.33847120129965
hsa-mir-196a-2	0.218650344324369	-0.616398768765711	-0.49218413123905	-1.31054963228638	-0.79797984951128	-0.664763273929351	-0.59746011803614	-0.88404713813368	0.505479187514801	0.0831957982525082	-0.555970555961599	-0.547137691903503	0.136683795741429	0.473032307176183	0.410711549632383	-0.583622940785291	-0.0813072709338566	1.87900467912994	-0.357972496338278	-0.127945283318756	-0.867309543886248	0.318443581299381	0.849746660308444	-0.855198406599368	0.410711549632383	-0.319656532771515	1.93038133343093	0.452797574283781	1.57734215865762	-0.132708804953363	-0.41166020495554
hsa-mir-196b	0.93384454660123	0.377540685988015	-0.565786648548684	-0.855198406599368	0.144990294806102	-0.801999292496258	1.82838783193976	-0.636898959501648	-0.525952656561073	-1.02037119758734	0.344981959453153	-0.867309543886248	-0.627337890281926	-0.855198406599368	-0.529799142786571	0.735996244551156	0.153515167580266	0.899786849202972	-0.547137691903503	-0.785593212703932	-0.891826406276081	-0.479359023249223	-0.589382118227421	-0.319656532771515	0.401579466928057	1.76748454902745	0.53211486895077	1.82838783193976	0.124259621676245	-0.533425330718409	0.0231563003696631
hsa-mir-197	-0.189566489078548	-0.316089181773871	-0.36859374524638	-0.195580534127009	0.257786164059871	-0.12321000649882	-0.258720824379097	-0.12321000649882	0.130422413830336	-0.17795090980599	2.60664331638123	0.116183237433881	-0.117543096451444	-0.611262728668419	-0.184244892436111	-0.295352899338659	-0.371620024495556	-0.216573874368554	-0.276272305574597	-0.311722703134589	0.189154218723648	0.0547961157659989	-0.195580534127009	-0.513442028612603	0.17330663203352	-0.0281602734543511	0.065045754014101	-0.300451085920945	-0.41166020495554	-0.311722703134589	0.494910346018651
hsa-mir-1976	0.124259621676245	-0.855198406599368	-0.244601274530023	-0.300451085920945	0.116183237433881	0.796335897513747	-0.371620024495556	-0.381506102136988	1.09656736987887	-0.452396101374784	0.542528669554355	0.505479187514801	-0.0509293613267042	-0.680789297794366	-0.0180558922708376	-0.525952656561073	-0.542918055525765	-0.88404713813368	-0.161423105198899	-0.761706255419316	2.06495879688091	-0.17795090980599	0.0231563003696631	-0.627337890281926	-0.357972496338278	-0.0878935332824376	-0.17795090980599	0.0710099991501802	-0.290973513322283	-0.155083543804089	-0.441754692804076
hsa-mir-199a-1	1.31521662573459	0.655170280171133	-0.0344304854074166	-0.0754186277440986	-0.347403264078656	-0.395163923591425	0.304722529088133	-0.238753272212964	-0.593878945039641	-0.238753272212964	-0.560765332189351	1.99748078480837	0.782695730385534	1.0343047191004	-0.668580659444136	-0.84930640985519	1.0343047191004	-0.407974744978358	0.0452579835829657	-0.479359023249223	0.966620038673959	-0.300451085920945	-0.280349169219378	0.249784189601327	0.696012556112866	-0.308358376731035	-0.734679277588465	-0.830628505538259	-0.627337890281926	0.0188627550827246	-0.718580322214216
hsa-mir-199a-2	1.41966903763592	0.721692090424668	-0.0509293613267042	-0.0813072709338566	-0.377786053730516	-0.41166020495554	0.287352100091345	-0.184244892436111	-0.632376011020004	-0.222909498033471	-0.655788262516179	2.11876967090944	0.93384454660123	1.29150836247148	-0.636898959501648	-0.780744638224369	0.989372450541761	-0.479359023249223	0.0231563003696631	-0.433771505663103	0.60460087678392	-0.228106450232898	-0.238753272212964	0.257786164059871	0.721692090424668	-0.33847120129965	-0.718580322214216	-0.77301983596844	-0.636898959501648	0.0452579835829657	-0.680789297794366
hsa-mir-199b	1.57734215865762	0.735996244551156	0.00749687601530334	0.130422413830336	-0.416571243164835	-0.316089181773871	0.32990922342325	-0.107731985314138	-0.636898959501648	-0.249939825075595	-0.708507038607991	2.06495879688091	1.09656736987887	1.60926969658981	-0.647386726885242	-0.761706255419316	0.721692090424668	-0.555970555961599	0.0893436931996036	-0.386591191446938	0.244254863526521	-0.0813072709338566	-0.172034490008779	0.26712386749172	0.639479135053584	-0.324773581494562	-0.685834847397225	-0.708507038607991	-0.59746011803614	0.000487859156141638	-0.664763273929351
hsa-mir-19a	-0.867309543886248	0.144990294806102	-0.603412637309662	0.0893436931996036	-0.647386726885242	-0.210657143997462	0.913924568648317	-0.560765332189351	-0.488163722665946	-0.407974744978358	-0.6927605372899	1.93038133343093	-0.280349169219378	0.17330663203352	0.065045754014101	1.72523701796933	0.423679934684008	0.249784189601327	-0.542918055525765	-0.708507038607991	-0.728113110018794	0.136683795741429	0.423679934684008	-0.529799142786571	-0.12321000649882	-0.148401603753209	0.124259621676245	0.311616628273961	0.796335897513747	-0.761706255419316	-0.513442028612603
hsa-mir-19b-1	-0.222909498033471	-0.547137691903503	-0.739409472702506	0.095229669245068	-0.675580468273564	-0.860297201042733	-0.161423105198899	-0.189566489078548	-0.395163923591425	-0.0236723955565707	-0.647386726885242	0.82225187204774	-0.922799977919831	0.899786849202972	-0.290973513322283	2.45977679426301	0.384091430198674	0.000487859156141638	-0.280349169219378	-0.77301983596844	-0.429375164664733	0.0893436931996036	0.377540685988015	-0.343197112500384	-0.0509293613267042	-0.488163722665946	-0.303751704685087	1.60926969658981	1.0343047191004	-0.496192965381333	0.26712386749172
