Target,gene
POLR2F,SRSF11
HNRNPH1,SRSF11
SNRPD3,SRSF11
PRPF4,SRSF11
POLR2J,SRSF11
POLR2I,SRSF11
PCBP1,SRSF11
SNU13,SRSF11
TAF12,TAF9B
ENSG00000215719,TAF9B
POLR2A,TAF9B
ING2,TAF9B
TAF7,TAF9B
HNRNPR,SF3A3
POLR2B,SF3A3
POLR2C,SF3A3
YJU2,SF3A3
PRPF40A,SF3A3
SRSF5,SF3A3
SRSF4,SF3A3
HNRNPU,SF3A3
XAB2,SF3A3
CWC22,SF3A3
HNRNPF,SF3A3
SNRNP200,SF3A3
SF3A1,SF3A3
HNRNPA1,SF3A3
HNRNPK,SF3A3
NCBP2,SF3A3
SRSF7,SF3A3
POLR2A,SF3A3
POLR2H,SF3A3
HNRNPM,SF3A3
SF3A2,SF3A3
SNRPB2,SF3A3
DDX23,SF3A3
GTF2F2,SF3A3
POLR2F,SF3A3
HNRNPH1,SF3A3
PRPF31,SF3A3
LSM6,SF3A3
PRPF19,SF3A3
SNRPD3,SF3A3
PRPF4,SF3A3
LUC7L,SF3A3
POLR2J,SF3A3
POLR2I,SF3A3
PCBP1,SF3A3
SNU13,SF3A3
SRSF11,SF3A3
HNRNPR,SNRPF
POLR2B,SNRPF
POLR2C,SNRPF
YJU2,SNRPF
PRPF40A,SNRPF
SRSF5,SNRPF
SRSF4,SNRPF
HNRNPU,SNRPF
XAB2,SNRPF
CWC22,SNRPF
HNRNPF,SNRPF
SNRNP200,SNRPF
SF3A1,SNRPF
HNRNPA1,SNRPF
HNRNPK,SNRPF
NCBP2,SNRPF
SRSF7,SNRPF
POLR2A,SNRPF
POLR2H,SNRPF
HNRNPM,SNRPF
SF3A2,SNRPF
SNRPB2,SNRPF
DDX23,SNRPF
GTF2F2,SNRPF
POLR2F,SNRPF
HNRNPH1,SNRPF
PRPF31,SNRPF
LSM6,SNRPF
PRPF19,SNRPF
SNRPD3,SNRPF
PRPF4,SNRPF
LUC7L,SNRPF
POLR2J,SNRPF
POLR2I,SNRPF
PCBP1,SNRPF
SNU13,SNRPF
SRSF11,SNRPF
SF3A3,SNRPF
TAF12,TAF4
POLR2B,TAF4
MNAT1,TAF4
POLR2C,TAF4
CDK7,TAF4
ENSG00000215719,TAF4
POLR2A,TAF4
POLR2H,TAF4
GTF2F2,TAF4
POLR2F,TAF4
CCNH,TAF4
PRPF31,TAF4
ING2,TAF4
TAF7,TAF4
POLR2J,TAF4
POLR2I,TAF4
TAF9B,TAF4
TAF12,POLR2G
HNRNPR,POLR2G
POLR2B,POLR2G
MNAT1,POLR2G
POLR2C,POLR2G
SRSF5,POLR2G
SRSF4,POLR2G
HNRNPU,POLR2G
XAB2,POLR2G
GTF2H2C,POLR2G
HNRNPF,POLR2G
CDK7,POLR2G
SNRNP200,POLR2G
SF3A1,POLR2G
HNRNPA1,POLR2G
HNRNPK,POLR2G
NCBP2,POLR2G
SRSF7,POLR2G
POLR2A,POLR2G
POLR2H,POLR2G
HNRNPM,POLR2G
SF3A2,POLR2G
SNRPB2,POLR2G
DDX23,POLR2G
SUPT5H,POLR2G
GTF2F2,POLR2G
POLR2F,POLR2G
HNRNPH1,POLR2G
CCNH,POLR2G
SSRP1,POLR2G
PRPF19,POLR2G
SNRPD3,POLR2G
PRPF4,POLR2G
TAF7,POLR2G
POLR2J,POLR2G
POLR2I,POLR2G
PCBP1,POLR2G
SNU13,POLR2G
SUPT16H,POLR2G
SRSF11,POLR2G
SF3A3,POLR2G
SNRPF,POLR2G
TAF4,POLR2G
HNRNPR,HNRNPH2
POLR2B,HNRNPH2
POLR2C,HNRNPH2
SRSF5,HNRNPH2
SRSF4,HNRNPH2
HNRNPU,HNRNPH2
HNRNPF,HNRNPH2
SNRNP200,HNRNPH2
SF3A1,HNRNPH2
HNRNPA1,HNRNPH2
HNRNPK,HNRNPH2
NCBP2,HNRNPH2
SRSF7,HNRNPH2
POLR2A,HNRNPH2
POLR2H,HNRNPH2
HNRNPM,HNRNPH2
SF3A2,HNRNPH2
SNRPB2,HNRNPH2
DDX23,HNRNPH2
GTF2F2,HNRNPH2
POLR2F,HNRNPH2
HNRNPH1,HNRNPH2
SNRPD3,HNRNPH2
PRPF4,HNRNPH2
POLR2J,HNRNPH2
POLR2I,HNRNPH2
PCBP1,HNRNPH2
SNU13,HNRNPH2
SRSF11,HNRNPH2
SF3A3,HNRNPH2
SNRPF,HNRNPH2
POLR2G,HNRNPH2
PRPF40A,LSM5
XAB2,LSM5
CWC22,LSM5
SNRNP200,LSM5
SF3A1,LSM5
