ID	6782	5912	6163	5666	6536	3779	5797	6607	6533	4947	5344	6197	6651	6715	6172	6460	6298	6652	3713	4952	6600	6676	6628
ABCA1	645.0441	338.3084	546.5690	316.3525	578.1793	253.3073	397.4656	1568.6707	396.2426	715.5495	296.3876	251.0221	1174.7293	448.2520	964.9913	666.2826	163.1403	541.0268	555.5348	214.0810	465.8464	424.0343	698.5779
ABCA2	1283.5097	961.0778	1122.3016	469.6893	1256.4281	819.3901	804.9870	1386.8012	2276.7898	1535.5030	774.7503	2288.6345	1736.3627	665.5580	939.1103	1427.0073	928.7305	3154.8925	1586.7347	738.4363	1151.0395	1762.6609	1280.6799
ABCA3	467.3721	24.9501	161.4822	18.3393	164.5587	35.4444	47.2646	764.5953	41.0397	52.4091	45.8636	409.6484	598.0526	9.6083	190.4102	227.8415	172.0490	28.9601	869.8086	42.9799	256.2580	207.2961	482.5871
ABCA4	2.6455	0.4990	1.2111	1.0188	6.1154	2.0850	1.1165	0.5983	0.4560	0.8453	0.9863	1.6353	18.4274	5.1737	1.8486	2.0855	1.6704	0.0000	2.7025	351.6169	2.9699	1.2876	2.4876
ABCA5	354.0564	113.2735	377.8685	266.4289	155.1077	423.7686	71.0830	110.6809	139.5349	350.3804	360.4981	498.3647	132.3422	192.9047	581.8602	231.4911	93.5412	387.0118	690.2875	405.2395	196.8604	231.7597	145.9370
ABCA6	61.2875	4.4910	29.8742	3.0565	3.3356	7.2974	8.1876	59.2292	1.8240	10.1437	11.3426	12.6738	60.7266	0.0000	11.0919	22.9406	2.7840	2.6327	15.4427	0.4093	11.0310	12.0172	9.5357
ABCA7	302.4691	360.7784	575.6842	110.0357	1380.9590	475.8926	64.0119	601.8645	304.6056	239.6450	295.4013	1214.6361	228.2484	101.6260	743.1542	240.8759	419.2650	479.5963	613.8463	214.8997	487.9084	436.9099	250.8292
ABCA8	135.3616	1.9960	70.6485	1.5283	1.1119	1.0425	10.7927	27.5206	1.3680	8.8757	11.8358	24.1210	390.3256	0.0000	14.7891	68.3003	6.1247	0.4388	47.4862	0.0000	37.3356	6.8670	23.6318
ABCA9	67.4603	2.4950	17.3593	2.5471	2.2238	6.2549	1.8608	52.0499	1.8240	2.5359	15.7810	11.8561	100.9318	0.3695	7.3946	32.3253	3.8976	9.2146	10.4238	1.2280	5.5155	7.7253	16.5837
ABCB10	576.2787	761.4770	1392.3807	858.3800	961.2231	842.3247	1030.5173	308.1116	1450.5244	772.6120	392.0602	596.0752	634.4885	842.9416	835.1242	504.1710	778.9532	1154.8925	452.4703	609.0872	1085.2779	412.8755	752.9022
ABCB11	0.8818	0.0000	1.6148	0.0000	3.3356	0.0000	1.1165	27.5206	0.4560	2.1133	0.4932	1.6353	0.4188	0.0000	1.8486	0.0000	0.5568	1.3164	16.9869	4.9120	2.5456	0.8584	3.7313
ABCB1	158.7302	404.6906	716.5775	24.4524	534.8158	285.6398	3807.2199	76.5792	1347.4692	1738.7997	1544.0759	2262.4693	764.3179	873.2446	291.6233	2460.8968	1250.0000	751.2067	475.2483	16.7826	1370.8104	5119.7425	111.5257
